,Region_name,Observed_indoor_richness,Observed_naturalized_richness,Projected_naturalized_richness_indoor_current,Projected_naturalized_richness_indoor_2C,Projected_naturalized_richness_indoor_4C,Projected_naturalized_richness_difference_2C,Projected_naturalized_richness_difference_4C,Projected_naturalized_richness_difference_warm_scen,Observed_harmful_indoor_richness,Observed_harmful_naturalized_richness,Projected_harmful_naturalized_richness_indoor_current,Projected_harmful_naturalized_richness_indoor_2C,Projected_harmful_naturalized_richness_indoor_4C,Projected_harmful_naturalized_richness_difference_2C,Projected_harmful_naturalized_richness_difference_4C,Projected_harmful_naturalized_richness_warm_scen,Observed_env_impact_indoor,Observed_env_impact_naturalized,Cumulative_env_SWIS_indoor_current,Cumulative_env_SWIS_indoor_2C,Cumulative_env_SWIS_indoor_4C,Projected_env_SWIS_difference_2C,Projected_env_SWIS_difference_4C,Projected_env_SWIS_difference_warm_scen,Observed_soc_impact_indoor,Observed_soc_impact_naturalized,Cumulative_soc_SWIS_indoor_current,Cumulative_soc_SWIS_indoor_2C,Cumulative_soc_SWIS_indoor_4C,Projected_soc_SWIS_difference_2C,Projected_soc_SWIS_difference_4C,Projected_soc_SWIS_difference_warm_scen
206,Lithuania,1,NA,0.002628867,0.003424244,0.008617549,0.000795376,0.005988682,0.005193306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,Louisiana,1,34,0.020475251,0.023938559,0.034942265,0.003463308,0.014467014,0.011003706,NA,11,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA
208,Luxembourg,2,NA,0.722593649,0.770829198,0.863283064,0.048235549,0.140689414,0.092453866,1,NA,0.714086095,0.760236844,0.845799259,0.046150749,0.131713164,0.085562416,0,NA,0,0,0,0,0,0,4,NA,2.856344379,3.040947375,3.383197037,0.184602995,0.526852658,0.342249662
209,Macau,NA,12,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA
210,Macedonia,1,NA,0.007168311,0.010434611,0.016244893,0.0032663,0.009076582,0.005810281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Madagascar,NA,46,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA
212,Madhya Pradesh,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
213,Magdalena,NA,7,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
214,Maharashtra,NA,10,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
215,Maine,2,2,0.011337191,0.018354926,0.03652793,0.007017736,0.025190739,0.018173004,1,1,0.011087023,0.017876886,0.035312534,0.006789863,0.024225512,0.017435648,5,10,0.055435115,0.08938443,0.176562672,0.033949316,0.121127558,0.087178242,2,4,0.022174046,0.035753772,0.070625069,0.013579726,0.048451023,0.034871297
216,Malawi,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
217,Malaysia and Singapore,1,14,0.902443459,0.916095436,0.939152398,0.013651977,0.036708939,0.023056962,1,5,0.902443459,0.916095436,0.939152398,0.013651977,0.036708939,0.023056962,14,34,12.63420843,12.8253361,13.14813358,0.191127672,0.513925146,0.322797474,6,23,5.414660756,5.496572616,5.63491439,0.081911859,0.220253634,0.138341775
218,Maldives,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
219,Mali,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
220,Malta,NA,13,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
221,"Man, Isle of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,Manipur,NA,8,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
223,Manitoba,10,NA,0.526263681,0.57287948,0.689553564,0.046615799,0.163289883,0.116674084,6,NA,0.010047728,0.01577995,0.043996718,0.005732222,0.03394899,0.028216767,41,NA,0.049198038,0.079413736,0.238078234,0.030215698,0.188880196,0.158664498,25,NA,0.013351245,0.023765842,0.087593461,0.010414598,0.074242217,0.063827619
224,Maranhao,NA,8,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
225,Marshall Islands,NA,19,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA
226,Maryland,5,8,0.161111038,0.195631449,0.317137683,0.034520411,0.156026645,0.121506234,3,1,0.140829066,0.169651927,0.268871177,0.028822861,0.128042111,0.09921925,33,9,1.592562322,1.913969385,3.014180908,0.321407063,1.421618586,1.100211523,17,6,0.802858329,0.96667183,1.529892001,0.163813501,0.727033671,0.563220171
227,Massachusetts,4,5,0.017502416,0.02393539,0.045921671,0.006432975,0.028419256,0.021986281,2,2,0.014116586,0.019034334,0.035392112,0.004917748,0.021275526,0.016357778,10,19,0.07058293,0.09517167,0.17696056,0.02458874,0.10637763,0.08178889,7,10,0.049584818,0.067822331,0.129757486,0.018237513,0.080172668,0.061935155
228,Mato Grosso,NA,6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
229,Mato Grosso do Sul,1,5,0.659775676,0.761584216,0.857052866,0.101808541,0.19727719,0.09546865,1,4,0.659775676,0.761584216,0.857052866,0.101808541,0.19727719,0.09546865,14,20,9.23685946,10.66217903,11.99874013,1.425319569,2.761880665,1.336561096,6,7,3.958654054,4.569505298,5.142317196,0.610851244,1.183663142,0.572811898
230,Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,Meghalaya,NA,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
232,Mendoza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,Meta,NA,9,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
234,Mexico,NA,9,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA
235,Michigan,4,2,0.168358887,0.253719001,0.52529617,0.085360114,0.356937283,0.271577169,3,NA,0.167881119,0.252960022,0.523415422,0.085078903,0.355534303,0.2704554,19,NA,0.746660561,1.086659194,2.199102862,0.339998634,1.452442301,1.112443668,12,NA,0.73061848,1.100291706,2.279112427,0.369673225,1.548493946,1.178820721
236,Michoacan,NA,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA
237,Micronesia,NA,14,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA
238,Midway Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,Minas Gerais,NA,10,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
240,Minnesota,3,1,0.055589137,0.075583201,0.173497373,0.019994064,0.117908236,0.097914171,2,NA,0.033245264,0.043978471,0.093615005,0.010733207,0.060369742,0.049636535,19,NA,0.385374968,0.512559172,1.1047395,0.127184204,0.719364532,0.592180327,8,NA,0.163889927,0.218031083,0.470191999,0.054141156,0.306302071,0.252160916
241,Misiones,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,Mississippi,1,30,0.007925662,0.009169799,0.013273747,0.001244137,0.005348085,0.004103948,NA,11,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA
243,Missouri,6,5,0.9886548,1.057071455,1.390791271,0.068416655,0.402136471,0.333719816,4,1,0.961470482,1.026809746,1.342604597,0.065339263,0.381134115,0.315794851,28,14,7.239164028,7.745266383,10.17293845,0.506102355,2.93377442,2.427672065,13,16,2.900563957,3.127217919,4.242426044,0.226653962,1.341862087,1.115208125
244,Mizoram,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
245,Moldova,1,NA,0.003292435,0.004305431,0.008448956,0.001012996,0.005156521,0.004143525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,Montana,1,1,0.001460426,0.00176261,0.003520885,0.000302185,0.002060459,0.001758274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,Montenegro,1,2,0.048669166,0.067057774,0.104001014,0.018388607,0.055331848,0.036943241,NA,2,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
249,Morelos,NA,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
250,Morocco,NA,21,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
251,Mozambique,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
252,Myanmar,NA,10,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA
253,Nagaland,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
254,Namibia,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
255,Narino,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
256,Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,Nayarit,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
258,Nebraska,2,1,0.096173422,0.105016273,0.161635338,0.008842851,0.065461917,0.056619065,1,NA,0.095134346,0.103854311,0.159587753,0.008719965,0.064453407,0.055733442,14,NA,1.33188084,1.453960352,2.234228536,0.122079512,0.902347696,0.780268184,6,NA,0.570806074,0.623125865,0.957526516,0.052319791,0.386720441,0.33440065
259,Nei Mongol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,Nepal,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
261,Netherlands,14,10,8.536560812,8.880778047,9.698745955,0.344217235,1.162185143,0.817967908,4,4,2.549141156,2.672614558,2.950571859,0.123473402,0.401430703,0.277957301,19,18,12.05371805,12.64202938,13.96666739,0.58831133,1.912949341,1.324638011,2,12,0.584842643,0.647770608,0.81963127,0.062927965,0.234788627,0.171860662
262,Neuquen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,Nevada,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
264,New Brunswick,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
265,New Caledonia,NA,37,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA
266,New Guinea,NA,36,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA
267,New Hampshire,2,2,0.022267967,0.031476682,0.059009652,0.009208714,0.036741685,0.02753297,1,1,0.021652634,0.030492746,0.056675607,0.008840113,0.035022973,0.026182861,5,10,0.108263168,0.152463731,0.283378035,0.044200563,0.175114867,0.130914304,2,4,0.043305267,0.060985492,0.113351214,0.017680225,0.070045947,0.052365722
268,New Jersey,3,3,0.167408189,0.20016977,0.293342882,0.032761582,0.125934693,0.093173112,1,NA,0.15242456,0.179990737,0.254554085,0.027566177,0.102129525,0.074563348,4,NA,0.609698241,0.719962948,1.018216342,0.110264708,0.408518101,0.298253393,0,NA,0,0,0,0,0,0
269,New Mexico,1,9,0.011250441,0.013754776,0.022781578,0.002504335,0.011531137,0.009026802,NA,5,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA
270,New South Wales,NA,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA
271,New York,5,10,0.207851074,0.289812647,0.505503333,0.081961573,0.297652259,0.215690686,3,3,0.195442037,0.269130588,0.456010357,0.073688551,0.26056832,0.186879769,14,19,0.838059831,1.160334072,1.988550313,0.322274241,1.150490481,0.82821624,7,14,0.207969676,0.314847884,0.633700443,0.106878208,0.425730767,0.318852559
272,New Zealand,NA,40,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA
273,Newfoundland,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
274,Nicaragua,NA,12,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
275,Niger,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
276,Nigeria,NA,11,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA
277,Ningxia,1,1,0.004479419,0.006251542,0.01259145,0.001772123,0.00811203,0.006339908,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
278,Niue,NA,22,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA
279,Norde de Santander,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
280,Norfolk Island,NA,14,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA
281,North Carolina,6,13,0.172406594,0.195846533,0.280785319,0.023439939,0.108378725,0.084938786,1,8,0.145509439,0.164598951,0.232261431,0.019089512,0.086751992,0.06766248,0,55,0,0,0,0,0,0,4,39,0.582037755,0.658395804,0.929045725,0.07635805,0.34700797,0.27064992
282,North Dakota,1,NA,0.000187105,0.000257695,0.000637569,7.06E-05,0.000450464,0.000379875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,North Korea,2,1,0.16131297,0.206884,0.334860266,0.045571029,0.173547295,0.127976266,1,NA,0.15986628,0.204836293,0.330545409,0.044970014,0.170679129,0.125709115,14,NA,2.238127917,2.867708107,4.627635724,0.62958019,2.389507807,1.759927617,6,NA,0.959197679,1.22901776,1.983272453,0.269820081,1.024074774,0.754254693
284,North Western Australia,NA,9,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
285,Northern Territory,NA,19,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA
286,Northwest Territories,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,Norway,18,NA,2.419623432,2.859967933,4.386192477,0.440344501,1.966569045,1.526224544,4,NA,0.581786059,0.735875835,1.217716365,0.154089776,0.635930306,0.48184053,23,NA,2.57649125,3.251516633,5.519255914,0.675025383,2.942764665,2.267739281,12,NA,1.719275844,2.224434954,3.832498596,0.50515911,2.113222753,1.608063643
288,Nova Scotia,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
289,Nuevo Leon,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA
290,Nunavut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,Oaxaca,NA,11,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA
292,Ohio,7,5,0.332579702,0.389426268,0.594404079,0.056846565,0.261824377,0.204977812,4,1,0.247063913,0.289401101,0.441450099,0.042337189,0.194386187,0.152048998,28,9,1.643953824,1.944277456,3.043777459,0.300323631,1.399823635,1.099500003,13,6,0.557052002,0.670976323,1.104384858,0.113924321,0.547332855,0.433408534
293,Okinawa,NA,36,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA
294,Oklahoma,2,4,0.150954424,0.161979665,0.233861355,0.011025241,0.082906931,0.07188169,NA,3,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA
295,Oman,NA,18,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
296,Ontario,5,3,0.003081777,0.006223931,0.020760456,0.003142154,0.017678679,0.014536525,4,1,0.003074481,0.00620909,0.020711238,0.003134609,0.017636757,0.014502148,22,10,0.012615928,0.025345734,0.084419245,0.012729805,0.071803317,0.059073511,21,4,0.014547407,0.030451145,0.106994198,0.015903737,0.092446791,0.076543054
297,Oregon,3,2,0.175263537,0.223947632,0.319663994,0.048684095,0.144400457,0.095716362,2,NA,0.173350395,0.221283213,0.315250931,0.047932817,0.141900536,0.093967718,19,NA,2.006536053,2.566083615,3.657266586,0.559547561,1.650730532,1.091182971,8,NA,0.853271491,1.091307559,1.555396053,0.238036068,0.702124562,0.464088494
298,Orissa,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
299,Pakistan,NA,10,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA
300,Palau,NA,21,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA
301,Panama,NA,10,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
302,Bismarck Archipelago,NA,19,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA
303,Para,NA,12,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA
304,Paracel Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,Paraguay,NA,7,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
306,Paraiba,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
307,Parana,NA,6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
308,Pennsylvania,3,5,0.106726352,0.138910931,0.239719533,0.032184579,0.132993181,0.100808602,2,1,0.105913035,0.137796015,0.237528743,0.03188298,0.131615708,0.099732728,19,9,1.171119944,1.514783331,2.573603015,0.343663387,1.40248307,1.058819684,11,6,0.600849038,0.780735993,1.341639192,0.179886955,0.740790154,0.560903199
309,Pernambuco,NA,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
310,Peru,NA,10,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA
311,Philippines,1,25,0.880802157,0.897514266,0.924420811,0.016712109,0.043618654,0.026906545,1,6,0.880802157,0.897514266,0.924420811,0.016712109,0.043618654,0.026906545,14,34,12.3312302,12.56519972,12.94189136,0.233969524,0.610661159,0.376691635,6,27,5.284812942,5.385085596,5.546524868,0.100272653,0.261711925,0.161439272
312,Piaui,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
313,Pitcairn Islands,NA,10,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
314,Poland,6,1,1.089800598,1.363106679,2.115658698,0.27330608,1.0258581,0.752552019,2,1,0.510633849,0.631301581,0.947661322,0.120667733,0.437027473,0.316359741,14,4,2.167402248,2.71946037,4.404985489,0.552058122,2.23758324,1.685525119,10,0,2.352164288,2.913700664,4.419928929,0.561536376,2.067764641,1.506228265
315,Portugal,1,8,0.028057994,0.035311465,0.047967606,0.007253471,0.019909612,0.012656142,NA,3,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
316,Prince Edward Island,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
317,Puebla,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,Puerto Rico,NA,32,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA
319,Punjab,NA,7,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
320,Putumayo,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
