"","Final_country","Observed_indoor_richness","Observed_naturalized_richness","Projected_naturalized_richness_indoor_current","Projected_naturalized_richness_indoor_2C","Projected_naturalized_richness_indoor_4C","Projected_naturalized_richness_difference_2C","Projected_naturalized_richness_difference_4C","Projected_naturalized_richness_difference_warm_scen","Observed_harmful_indoor_richness","Observed_harmful_naturalized_richness","Projected_harmful_naturalized_richness_indoor_current","Projected_harmful_naturalized_richness_indoor_2C","Projected_harmful_naturalized_richness_indoor_4C","Projected_harmful_naturalized_richness_difference_2C","Projected_harmful_naturalized_richness_difference_4C","Projected_harmful_naturalized_richness_warm_scen","Observed_env_impact_indoor","Observed_env_impact_naturalized","Cumulative_env_SWIS_indoor_current","Cumulative_env_SWIS_indoor_2C","Cumulative_env_SWIS_indoor_4C","Projected_env_SWIS_difference_2C","Projected_env_SWIS_difference_4C","Projected_env_SWIS_difference_warm_scen","Observed_soc_impact_indoor","Observed_soc_impact_naturalized","Cumulative_soc_SWIS_indoor_current","Cumulative_soc_SWIS_indoor_2C","Cumulative_soc_SWIS_indoor_4C","Projected_soc_SWIS_difference_2C","Projected_soc_SWIS_difference_4C","Projected_soc_SWIS_difference_warm_scen","threat","IAS_list","Existing_mgmt","research","outreach"
"62","Germany",19,9,4.39145043755511,5.0076445360777,6.56159584549513,0.616194098522592,2.17014540794002,1.55395130941743,5,4,1.25386410077413,1.47586884718489,1.99942424841836,0.222004746410764,0.222004746410764,0,28,15,5.41020735862983,6.46015888004209,9.13732488909752,1.04995152141226,3.72711753046769,2.67716600905544,12,8,3.0425204941652,3.5972928052716,4.88915774903469,0.554772311106406,1.84663725486949,1.29186494376309,1,1,0.5,1,1
"63","Ghana",0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0
"64","Greece",0,18,0,0,0,0.0994311260680979,0.197015647195769,0.0975845211276712,0,6,0,0,0,0.09479886556259,0.09479886556259,0,0,45,0,0,0,0.85318979006331,1.67366673345741,0.820476943394103,0,33,0,0,0,0.85318979006331,1.67366673345741,0.820476943394103,NA,NA,NA,NA,NA
"65","Guam",0,42,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,55,0,0,0,0,0,0,NA,NA,NA,NA,NA
"66","Guatemala",0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,1,0.5,1,0
"67","Guinea",0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,1,0
"68","Guyana",0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0.5,1,1
"69","Honduras",0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0.5,0,0,0
"70","Hong Kong",0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,39,0,0,0,0,0,0,NA,NA,NA,NA,NA
"71","Hungary",9,2,0.907748689806294,1.11452588737991,1.67674500746862,0.20677719757362,0.768996317662327,0.562219120088707,3,1,0.489462423912106,0.595533152739391,0.866158919666785,0.106070728827286,0.106070728827286,0,9,4,0.955973589392754,1.13298024693485,1.60122712529642,0.177006657542095,0.645253535903665,0.46824687836157,6,0,1.1089801584487,1.38084850928503,2.06775000883469,0.271868350836331,0.958769850385996,0.686901499549665,1,1,0.5,1,1
"72","Iceland",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"73","India",0,27,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,1,0.5,1,0
"74","Indian Ocean Ter.",0,27,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,41,0,0,0,0,0,0,NA,NA,NA,NA,NA
"75","Indonesia",0,30,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,1,0,0,0
"76","Iran",0,19,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,1,0
"77","Iraq",0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,1,0,1,0
"78","Ireland",10,0,5.3833094816347,5.63081049858828,6.11694627844073,0.247501016953579,0.733636796806029,0.48613577985245,5,0,3.3163375068177,3.43914400403877,3.67305469753475,0.122806497221068,0.122806497221068,0,32,0,18.6989466497535,19.5989276234008,21.3527580395858,0.89998097364728,2.65381138983222,1.75383041618494,13,0,8.4529021287279,8.77783229240146,9.40217632225225,0.324930163673561,0.94927419352435,0.624344029850789,1,1,0.5,1,0
"79","Italy",14,15,2.07557455984569,2.54723039935997,3.36672475400356,0.509779910681136,1.39637107311331,0.886591162432171,4,7,0.426119314448669,0.549999535055434,0.768671894664391,0.161723335064541,0.161723335064541,0,33,58,3.20487791597489,4.17847245226369,5.92811325590389,1.16281010857769,3.24933973470616,2.08652962612847,11,46,0.89699020679199,1.18154599430964,1.70482049210424,0.473771359806527,1.33393468008941,0.860163320282886,1,1,0.5,1,0
"80","Jamaica",0,23,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,46,0,0,0,0,0,0,1,1,0.5,0,1
"81","Japan",0,47,0,0,0,0.254927082602586,0.889103298246556,0.63417621564397,0,14,0,0,0,0.170916679190637,0.170916679190637,0,0,105,0,0,0,0.641617509609889,2.18856455613411,1.54694704652422,0,64,0,0,0,0.579847510171699,2.14548207333012,1.56563456315842,1,1,1,0,0
"82","Jersey",2,1,0.62223816846172,0.666050451937847,0.750672150169158,0.043812283476128,0.128433981707439,0.084621698231311,1,0,0.59932573275147,0.6384554052549,0.710826842041656,0.0391296725034297,0.0391296725034297,0,14,0,8.39056025852059,8.9383756735686,9.95157578858318,0.547815415048016,1.5610155300626,1.01320011501458,6,0,3.59595439650882,3.8307324315294,4.26496105224993,0.234778035020578,0.669006655741113,0.434228620720534,NA,NA,NA,NA,NA
"83","Jordan",0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1
"84","Kazakhstan",1,0,0.000194394460722926,0.000303599430258503,0.00077803409256563,0.000109204969535577,0.000583639631842704,0.000474434662307127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0
"85","Kenya",0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,1,0.5,0,0
"86","Kiribati",0,17,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0.5,0.5,1,0
"87","Kuwait",0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"88","Kyrgyzstan",1,1,0.000387071130812156,0.000528152813909881,0.0011558637456096,0.000141081683097724,0.000768792614797446,0.000627710931699722,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"89","Laos",0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0
"90","Latvia",1,0,0.00213241586972238,0.00294458565539545,0.00788286749272125,0.000812169785673078,0.00575045162299888,0.0049382818373258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,1,0
"91","Lebanon",0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0.5,0.5,0,0
"92","Lesotho",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0
"93","Liberia",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0
"94","Libya",0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0
"95","Lithuania",1,0,0.00262886712665833,0.00342424353320966,0.00861754949703868,0.00079537640655133,0.00598868237038035,0.00519330596382902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"96","Luxembourg",2,0,0.722593649304664,0.770829197865254,0.863283063515902,0.0482355485605902,0.140689414211238,0.0924538656506475,1,0,0.714086094846813,0.760236843682924,0.845799259228667,0.0461507488361106,0.0461507488361106,0,0,0,0,0,0,0,0,0,4,0,2.85634437938725,3.0409473747317,3.38319703691467,0.184602995344442,0.526852657527417,0.342249662182974,0,0,0.5,0,0
"97","Macao",0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,36,0,0,0,0,0,0,NA,NA,NA,NA,NA
"98","Madagascar",0,46,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,1,0.5,0,0
"99","Malawi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0.5,1,1
"100","Malaysia",1,14,0.90244345940982,0.916095435961116,0.939152398390877,0.0136519765512968,0.0367089389810579,0.0230569624297611,1,5,0.90244345940982,0.916095435961116,0.939152398390877,0.0136519765512968,0.0136519765512968,0,14,34,12.6342084317375,12.8253361034556,13.1481335774723,0.191127671718155,0.51392514573481,0.322797474016655,6,23,5.41466075645892,5.4965726157667,5.63491439034526,0.0819118593077808,0.220253633886347,0.138341774578566,1,0,0,0,1
"101","Maldives",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0
"102","Mali",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0
"103","Malta",0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0.5,1,0
"104","Marshall Is.",0,19,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,38,0,0,0,0,0,0,NA,NA,NA,NA,NA
"105","Mexico",1,41,0.0686463040158113,0.0782222080334033,0.104831407697728,0.021793580741858,0.0815145531525415,0.0597209724106835,0,16,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,74,0,0,0,0,0,0,1,1,0.5,1,1
"106","Micronesia",0,39,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,41,0,0,0,0,0,0,1,1,0.5,1,1
"107","Moldova",1,0,0.00329243513221339,0.00430543138031758,0.00844895624191545,0.00101299624810419,0.00515652110970206,0.00414352486159787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"108","Montenegro",1,2,0.048669166148211,0.0670577736035151,0.104001014105691,0.018388607455304,0.0553318479574804,0.0369432405021764,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0.5,0,1,0
"109","Morocco",0,21,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0
"110","Mozambique",0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.5,0.5,0,0
"111","Myanmar",0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,1,0,0,0
"112","Namibia",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0
"113","Nepal",0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0.5,0,0,0
"114","Netherlands",14,10,8.53656081187041,8.88077804697635,9.69874595474927,0.344217235105937,1.16218514287886,0.817967907772922,4,4,2.54914115626566,2.67261455802434,2.95057185897903,0.123473401758674,0.123473401758674,0,19,18,12.0537180454824,12.6420293756847,13.9666673864319,0.588311330202298,1.91294934094952,1.32463801074722,2,12,0.584842642799393,0.647770607572732,0.819631269583048,0.0629279647733393,0.234788626783655,0.171860662010316,1,1,0.5,1,0
"115","New Caledonia",0,37,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,47,0,0,0,0,0,0,NA,NA,NA,NA,NA
"116","New Zealand",0,43,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,1
"117","Nicaragua",0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0
