gen,sp,Species.name,strat1,strat2,strat3,strata_classified,description,source
Syllophopsis,australica,Syllophopsis.australica,litter.soil,,,litter.soil,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Syllophopsis,cryptobia,Syllophopsis.cryptobia,litter.soil,,,litter.soil,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Syllophopsis,sechellensis,Syllophopsis.sechellensis,litter.soil,,,litter.soil,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Syllophopsis,subcoeca,Syllophopsis.subcoeca,litter.soil,,,litter.soil,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Tapinoma,darioi,Tapinoma.darioi,ground.surface,,,ground,Nest construction and the build-up of an impressive network of deeply excavated trails in coastal dune habitats is the same as in Tapinoma magnum,antwiki
Tapinoma,ibericum,Tapinoma.ibericum,arboreal,,,arboreal,from beating vegetation,"Álvarez, H. A., Morente, M., Campos, M., & Ruano, F. (2019). Maturity of ground covers increases the resilience and presence of natural enemies in the trophic network of olive canopy."
Tapinoma,madeirense,Tapinoma.madeirense,ground.surface,,,ground,"Grassland or very open woodland with bare ground exposed, occasionally ruderal.",antweb
Tapinoma,magnum,Tapinoma.magnum,arboreal,ground.surface,,arboreal & ground,"The nests are subterranean and often very extended, frequently reaching to a depth of 1 m. Nest entrances typically develop to big crater-like domes of ejected soil. Protection of vine and citrus mealybug colonies by T. magnum. In south Italy, T. magnum caused direct damage in horseradish cultures by injuring of plants and licking of phloem sap",antwiki
Tapinoma,melanocephalum,Tapinoma.melanocephalum,arboreal,ground.surface,litter.soil,All,see antwiki,antwiki
Tapinoma,minutum,Tapinoma.minutum,arboreal,ground.surface,litter.soil,All,"1 times O. simillimus on T. argentia next to small house near beach. nest in tree? ; Paratrechina sp. foraging on sand near shade structure., 1 times nesting in ant-plant, 1 times leaf litter (1 sq meter), 1 times Incidental collections near middle of island; somewhat open canopy ~40-60% near big breadfruit tree; a lot of Neisosperma, 1 times in leaf litter, ...",antweb
Tapinoma,nigerrimum,Tapinoma.nigerrimum,ground.surface,litter.soil,,ground & litter,"3 times nest under stone, 4 times Nbp, 3 times on ground, 3 times Forrajeando, 3 times foraging on the ground, 2 times Open nest in ground, 2 times Forrajenado, 1 times under stone, 1 times soil mound, 1 times Sobre pino, …",antweb
Tapinoma,pygmaeum,Tapinoma.pygmaeum,arboreal,,,arboreal,1 times nesting in a wooden pole.,antweb
Tapinoma,ramulorum,Tapinoma.ramulorum,arboreal,,,arboreal,"Nests are in almost any kind of preformed plant cavity, but the chambers are usually very small and may not be sharply bounded. Nests can occur in tiny dead twigs (down to 5mm outside diameter, 3mm inside diameter), larger dead branches, under bits of loose bark, in cavities in live stems, under and in epiphyte mats, in the bases of bromeliads, and sometimes in myrmecophytes. Tapinoma ramulorum may be found nesting close to other ant nests. For example, a dead branch with a Camponotus nest in the center may have a T. ramulorum nest under the loose bark or bits of rotten wood on the surface of the branch. Colonies are often polygynous.",antwiki
Tapinoma,sessile,Tapinoma.sessile,ground.surface,,,ground,"pers. obs. BG. Antwiki: This species is extremely adaptable, nesting in a wide range of sites and being found in numerous habitats. Nests in open soil, under stones and logs or in dead wood, under loose bark, in cavities of plants or in plant galls, under leaves and rubbish piles and even bird nests.",antwiki; pers. obs. BG
Tapinoma,simrothi,Tapinoma.simrothi,arboreal,ground.surface,,arboreal & ground,"Pashaei Rad et al. (2018) found this species in Iran on the ground and on trees, and on the ground in a moderate to low rainfall area. Tapinoma simrothi in Saudi Arabia was observed nesting in a decaying carpet, among roots of graminae plants and attending unidentified mealybugs, and also coexisting with Solenopsis abdita (as Solenopsis saudiensis) (Sharaf and Aldawood 2011). Karami-jamour et al (2018) studied interactions between this ant and the aphid Aphis gossypii. Tapinoma simrothi tends this aphid and potentially protects it from predators. Laboratory microcosm experiments with plants, ants, aphids and two aphid predators (Chrysoperla carnea Stephens, green lacewing and Coccinellia septempunctata Mulsant, ladybird/ladybug) suggested T. simrothi can decrease predation of the aphid.",antwiki
Tapinoma,wheeleri,Tapinoma.wheeleri,arboreal,,,arboreal,"A species known only from a single soldier listed as ""taken in quarantine at Honolulu on plants from Samoa"" (Mann 1935), ","Wetterer, J. K., & Vargo, D. L. (2003). Ants (Hymenoptera: Formicidae) of Samoa. Pacific science, 57(4), 409-419."
Technomyrmex,albipes,Technomyrmex.albipes,arboreal,ground.surface,,arboreal & ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Technomyrmex,brunneus,Technomyrmex.brunneus,arboreal,,,arboreal,often nests in dead standing trees ,antwiki
Technomyrmex,difficilis,Technomyrmex.difficilis,arboreal,ground.surface,,arboreal & ground,"Nests at or above ground level in numerous locations within the landscape, home and suburban woodland habitats. Nests are frequently found in trees and bushes, tree holes, under palm fronds and old petiole bases, under leaves on trees, in loose mulch, under debris, in leaf-litter, both on the ground and in rain gutters, wall voids, and attics. Nests tend to be found outside of structures more than inside.",antwiki
Technomyrmex,elatior,Technomyrmex.elatior,arboreal,,,arboreal,Found on trees and nests in rotten parts of the trunk,antwiki
Technomyrmex,gibbosus,Technomyrmex.gibbosus,arboreal,,,arboreal,"Widely distributed in Japan (Imai, Kihara, Kondoh, et al., 2003), gibbosus nests in dead twigs and dead bamboo stems.",antwiki
Technomyrmex,jocosus,Technomyrmex.jocosus,arboreal,ground.surface,,arboreal & ground,"a distinct and very widespread species that forages extensively in leaf litter, in dead trees and under the bark of fallen trees, on shrubs and low vegetation, and on trunks and branches of standing trees",antwiki
Technomyrmex,kraepelini,Technomyrmex.kraepelini,ground.surface,,,ground,Most collections have been made from litter samples but there are also records from baits and sweeping samples,antwiki
Technomyrmex,pallipes,Technomyrmex.pallipes,arboreal,ground.surface,,arboreal & ground,"22 times Davis sifting>hand collected|aspirator, 9 times Winkler, 8 times hand collected, 4 times hand collected|aspirator, 4 times Davis sifting>hand collected|aspirator>bait trap|peanut butter, 2 times hand collected|aspirator>bait trap|peanut butter, maple syrup, 1 times hand collected|aspirator>bait trap|peanut butter",antweb
Technomyrmex,vexatus,Technomyrmex.vexatus,arboreal,ground.surface,,arboreal & ground,"Nests were located within trees and shrubs, in the ground and under rocks and stones, and vegetation was beaten. The species has been recorded on a range of plants: Olea europaea L. (Oleaceae), Osyris quadripartita (Santalaceae), Teucrium lusitanicum (Labiatae), Pinus pinea L. (dead) (Pinaceae), Clematis cirrhosa (Ranunculaceae) and Pistacia lentiscus L. (Anacardiaceae). Workers have been observed tending scale insects on Olea europea.","Guillem, R., & Bensusan, K. (2008). Technomyrmex vexatus (Santschi, 1919) from Gibraltar (Hymenoptera: Formicidae): a new ant species for Europe and genus for Iberia. Myrmecological News, 11, 21-23."
Technomyrmex,vitiensis,Technomyrmex.vitiensis,ground.surface,litter.soil,,ground & litter,"It nests in a wide variety of locations and has been collected from leaf litter, under stones, in rotten wood and from vegetation where it may nest in twigs, rot holes and spathes. Foraging is carried out in all of these places and the species, as well as avidly tending homopterous insects for honeydew, will also kill and consume small arthropods (Bolton, 2007).",antwiki
Temnothorax,longispinosus,Temnothorax.longispinosus,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Temnothorax,makora,Temnothorax.makora,arboreal,,,arboreal,,"Ikeda K., H. Kasai, A. Gouda, K. Murakami, I. Ryu, K. Nakamura, and T. Sawahata. 2020. Ant fauna around the Nara Campus of Kindai University. Kinki University Faculty of Agriculture Bulletin 53: 46-70."
Temnothorax,recedens,Temnothorax.recedens,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Temnothorax,schaumii,Temnothorax.schaumii,arboreal,,,arboreal,pers. obs. BG: interesting Temnothorax species because it is arboreal (which loves nesting on Carya trees)!,pers. obs. BG
Temnothorax,subditivus,Temnothorax.subditivus,arboreal,ground.surface,,arboreal & ground,"""nests in bark and fallen dead wood""","Kusnezov N. 1964 (""1963""). Zoogeografía de las hormigas en Sudamérica. Acta Zoologica Lilloana 19:25-186."
Temnothorax,unifasciatus,Temnothorax.unifasciatus,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Tetramorium,atratulum,Tetramorium.atratulum,litter.soil,,,litter.soil,"species is a rarely encountered workerless social parasite of Tetramorium caespitum and Tetramorium impurum, and Tetramorium moravicum in Bulgaria and Tetramorium chefketi in Bulgaria and Turkey (Lapeva-Gjonova et al., 2012).",antwiki
Tetramorium,bicarinatum,Tetramorium.bicarinatum,arboreal,ground.surface,,arboreal & ground,pers. obs. MW: ground pers. obs. BG: seen nesting on trees,pers. obs.
Tetramorium,caespitum,Tetramorium.caespitum,ground.surface,,,ground,"Nest construction more flexible than in other species: in soil, under stones, rarely in dead wood; only species building soil mounds higher than 10 cm.",antwiki
Tetramorium,caldarium,Tetramorium.caldarium,ground.surface,,,ground,"10 times ground forager(s), 4 times sifted litter (leaf mold, rotten wood), 3 times 0, 6 times leaf litter, 1 times ex rot pocket, 4 times ground nest, 4 times ex rotten log, 3 times Forrajeando, 4 times sour grassland, 3 times ex soil, 1 times recruiting to bait, ...",antweb
Tetramorium,calidum,Tetramorium.calidum,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Tetramorium,delagoense,Tetramorium.delagoense,ground.surface,litter.soil,,ground & litter,"179 times ex rotten log, 95 times sifted litter (leaf mold, rotten wood), 12 times sifted litter, 65 times under stone, 43 times ex soil, 49 times ground forager(s), 12 times ex rotten stick on ground, 11 times ground nest, 12 times on low vegetation, 8 times ex rotting tree stump, 4 times under coconut",antweb
Tetramorium,grassii,Tetramorium.grassii,ground.surface,,,ground,"10 times sifted litter (leaf mold, rotten wood), 5 times leaf litter, 1 times ex rotting branch above ground, 5 times ex rotten log, 2 times under stone, 1 times nest under rotting branch on ground, 1 times in rotten, wet wood, 1 times ground forager(s).",antweb
Tetramorium,immigrans,Tetramorium.immigrans,ground.surface,,,ground,"Nests are frequently located under building foundations and workers forage for food inside. Once a food source is located, mass recruitment occurs along a well defined odor trail. Commonly known as ""pavement"" ants this species is often seen in late spring and early summer out on sidewalks in huge battles with neighboring colonies",antwiki
Tetramorium,impurum,Tetramorium.impurum,ground.surface,,,ground,"1 times swarming from rock, 1 times on the ground, 1 times nest under stone.",antweb
Tetramorium,insolens,Tetramorium.insolens,arboreal,ground.surface,,arboreal & ground,"11 times sifted litter, 3 times 1 square meter of sifted leaf litter, 1 times nest in soil at base of sapling, 3 times litter, 1 times leaf gleaning on vegetation, 1 times nesting under bark of live tree, 2 times litter, weeded",antweb; pers. obs. F. H. Garcia
Tetramorium,kheperra,Tetramorium.kheperra,litter.soil,,,litter.soil,"Workers were found in Kew Gardens (London) in 1974 among the roots of a plant imported from Assam (Bolton, 1967). This indicates that the species may be an underground nester. (Yamane and Jaitrong 2011)  1 times litter sample, 2 times sifted litter (leaf mold, rotten wood), 1 times foragers, 1 times ex sifted leaf litter, 1 times nocturnal; foragers.",antweb
Tetramorium,kraepelini,Tetramorium.kraepelini,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Tetramorium,lanuginosum,Tetramorium.lanuginosum,ground.surface,,,ground,collections records show samples being taken from litter samples,antweb
Tetramorium,lucayanum,Tetramorium.lucayanum,ground.surface,,,ground," 3 times sifted litter, 2 times on limestone wall, 2 times ex sifted litter, 1 times ground nest, 1 times on ground, 1 times nest in soil in limestone cave, 1 times leaf litter, 1 times Kakamega 2007 survey, leaf litter, 1 times forager in house, 1 times ex soil, 1 times ex leaf litter & rotten log",antweb
Tetramorium,obesum,Tetramorium.obesum,ground.surface,,,ground,"1 times moist soil, 1 times ground",antweb
Tetramorium,pacificum,Tetramorium.pacificum,arboreal,ground.surface,,arboreal & ground,"1 times sifted litter (leaf mold, rotten wood), 30 times sifted litter, 11 times on low vegetation, 1 times ground nest, 1 times ex rotten branch on ground, 5 times ex dead branch above ground, 3 times ex dead twig above ground, 2 times ground forager(s), 3 times on leaf, 1 times nesting in log",antweb
