Country_global,Report_ava,Country_global_modified,Notes,Report_num,language,threat,IAS_list,Existing_mgmt,intro,research,outreach,reactive,proactive,Checked against shape 27th July 2015,Report checked April 2016
Indonesia,Indonesia,Indonesia,,4th,English,1,1,0,0.5,0,0,2,0.5,yes,yes
Iran,Iran,Iran,,4th,English,1,0,0,0.5,1,0,1,1.5,yes,yes
Iraq,Iraq,Iraq,,5th,English,1,1,0,0,1,0,2,1,yes,yes
Ireland,Ireland,Ireland,,4th,English,1,1,0.5,0.5,1,0,2.5,1.5,inconsistencies corrected,intro was 0
Isle of Man,,Isle of Man,,,,,,,,,,,,,
Israel,Israel,Israel,,4th,English,1,1,0.5,0.5,0,1,2.5,1.5,yes,yes
Italy,Italy,Italy,,5th,English,1,1,0.5,0.5,1,0,2.5,1.5,inconsistencies corrected,intro was 0
Jamaica,Jamaica,Jamaica,,4th,English,1,1,0.5,0.5,0,1,2.5,1.5,yes,
Japan,Japan,Japan,,5th,English,1,1,1,1,0,0,3,1,yes,yes
Jersey,,Jersey,,,,,,,,,,,,,
Jordan,Jordan,Jordan,,4th,English,1,0,0,0.5,0,1,1,1.5,yes,yes
Kazakhstan,Kazakhstan,Kazakhstan,,5th,English,0,1,0.5,0.5,1,0,1.5,1.5,yes,yes
Kenya,Kenya,Kenya,,4th,English,1,1,0.5,1,0,0,2.5,1,yes,yes
Kiribati,Kiribati,Kiribati,,4th,English,1,0.5,0.5,0.5,1,0,2,1.5,yes,
Republic of Korea,Korea (South Korea),South Korea,,5th,English,1,1,0.5,1,0,0,2.5,1,yes,yes
Kosovo,,Kosovo,,,,,,,,,,,,,
Kuwait,Kuwait,Kuwait,,5th,Arabic,0,0,0,0,0,0,0,0,yes,
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,,4th,English,1,1,0,0.5,0,0,2,0.5,yes,yes
Laos,Lao PDR,Laos,,4th,English,1,0,0,0.5,0,0,1,0.5,yes,
Latvia,Latvia,Latvia,,4th,English,1,1,0.5,0.5,1,0,2.5,1.5,research added because of FAISIE,yes
Lebanon,Lebanon,Lebanon,,4th,English,0,0.5,0.5,0.5,0,0,1,0.5,yes,yes
Lesotho,Lesotho,Lesotho,,4th,English,1,1,0,0,0,0,2,0,yes,yes
Liberia,Liberia,Liberia,,5th,English,1,0,0,0,0,0,1,0,yes,yes
Libya,Libya,Libya,,4th,Arabic,1,0,0,0,0,0,1,0,yes,
Liechtenstein,Liechtenstein,Liechtenstein,,4th,English,0,0,0,0.5,1,0,0,1.5,inconsistencies corrected,yes
Lithuania,Lithuania,Lithuania,,4th,English,1,1,0,0.5,1,0,2,1.5,inconsistencies corrected,yes. Intro was 0
Luxembourg,Luxembourg,Luxembourg,,4th,French,0,0,0.5,1,0,0,0.5,1,yes,
Macao,,Macao,,,,,,,,,,,,,
North Macedonia,Macedonia,North Macedonia,,4th,English,0,0,0,0.5,0,0,0,0.5,yes,yes
Madagascar,Madagascar,Madagascar,,5th,French,1,1,0.5,0.5,0,0,2.5,0.5,yes,
Malawi,Malawi,Malawi,,4th,English,1,1,0.5,0.5,1,1,2.5,2.5,yes,yes
Malaysia,Malaysia,Malaysia,,5th,English,1,0,0,0,0,1,1,1,yes,yes
Maldives,Maldives,Maldives,,4th,English,1,0,0,0.5,1,0,1,1.5,yes,
Mali,Mali,Mali,,5th,French,1,0,0,0,0,0,1,0,yes,
Malta,Malta,Malta,,4th,English,0,1,0.5,0.5,1,0,1.5,1.5,yes,yes
Marshall Is.,,Marshall Islands,,,,,,,,,,,,,
Mauritania,Mauritania,Mauritania,,5th,French,1,0,0,0,0,0,1,0,yes,
Mauritius,Mauritius,Mauritius,,4th,English,1,1,0.5,1,0,1,2.5,2,yes,
Mexico,Mexico,Mexico,,4th,Spanish,1,1,0.5,0,1,1,2.5,2,yes,
Micronesia,Micronesia,Micronesia,,4th,English,1,1,0.5,0.5,1,1,2.5,2.5,yes,
Moldova,Moldova,Moldova,,5th,English,1,1,0,0.5,0,0,2,0.5,yes,yes
Monaco,Monaco,Monaco,,4th,French,0,0,0,0,0,0,0,0,yes,
Mongolia,Mongolia,Mongolia,,5th,English,1,0.5,0,0,0,0,1.5,0,yes,yes
Montenegro,Montenegro,Montenegro,,4th,English,1,0.5,0,0.5,1,0,1.5,1.5,research added because of FAISIE,
Montserrat,,Montserrat,,,,,,,,,,,,,
Morocco,Morocco,Morocco,,5th,French,0,1,0,0.5,0,0,1,0.5,yes,
Mozambique,Mozambique,Mozambique,,4th,English,0,0.5,0.5,0,0,0,1,0,yes,yes
Myanmar,Myanmar,Myanmar,,5th,English,1,1,0,0.5,0,0,2,0.5,yes,yes
N. Cyprus,,N. Cyprus,,,,,,,,,,,,,
N. Mariana Is.,,N. Mariana Is.,,,,,,,,,,,,,
Namibia,Namibia,Namibia,,5th,English,1,1,0,0,0,0,2,0,yes,yes
Nauru,Nauru,Nauru,,5th,English,1,0,0,1,0,0,1,1,yes,
Nepal,Nepal,Nepal,,5th,English,1,0.5,0,0,0,0,1.5,0,yes,yes
Netherlands,Netherlands,Netherlands,,5th,English,1,1,0.5,0.5,1,0,2.5,1.5,inconsistencies corrected,yes
New Caledonia,,New Caledonia,,,,,,,,,,,,,
New Zealand,New Zealand,New Zealand,,5th,English,1,1,1,1,1,1,3,3,yes,yes
Nicaragua,Nicaragua,Nicaragua,,4th,Spanish,1,0,0,0,0,0,1,0,yes,
Niger,Niger,Niger,,5th,French,1,0,0.5,0.5,0,0,1.5,0.5,yes,
Nigeria,Nigeria,Nigeria,,5th,English,1,0,0.5,0,0,0,1.5,0,yes,yes
Niue,Niue,Niue,,5th,English,1,0.5,0.5,0.5,1,0,2,1.5,yes,
Norfolk Island,,Norfolk Island,,,,,,,,,,,,,
Norway,Norway,Norway,,4th,English,1,1,1,1,1,0,3,2,research added because of FAISIE,yes
Oman,Oman,Oman,,4th,English,1,0,0.5,0.5,0,0,1.5,0.5,yes,yes
Pakistan,Pakistan,Pakistan,,5th,English,1,0,0,0,0,0,1,0,yes,yes
Palau,Palau,Palau,,5th,English,1,0,0,0,0,0,1,0,yes,
Palestine,,Palestine,,,,,,,,,,,,,
Panama,Panama,Panama,,4th,Spanish,1,1,0.5,0,0,0,2.5,0,yes,
Papua New Guinea,Papua New Guinea,Papua New Guinea,,4th,English,0,0,0,0,0,0,0,0,yes,yes
Paraguay,,Paraguay,,,,,,,,,,,,,
Peru,Peru,Peru,,4th,Spanish,1,1,0.5,0,1,0,2.5,1,yes,yes
Philippines,Philippines,Philippines,,4th,English,1,1,0,0,0,0,2,0,yes,yes
Pitcairn Is.,,Pitcairn Islands,,,,,,,,,,,,,
